idx,question,story,properties,answer_options,answer,question_is_multiple
"{'story': mc500.test.20, 'question': 1}",What amazing things can you do during the summer?,"When it is the end of school and the weather is warmer, that is a beautiful time called summer. Summer is wonderful because there are so many amazing things to do! You can wear fun dresses and get dirty playing outside, or you can stay inside all day and watch television. You can also ride your bike, meet up with friends during any time of the day, or maybe even eat ice-cream for breakfast! I have a birthday during the warmer summer weather and sometimes it is hard to get all my friends together at my home for cake and presents because they are on vacation! When I see my friends at school later they wish me happy birthday. My friends like me, but sometimes it is not so easy to get together. That's a stinker when that happens. It's a good thing that I have a pig named Joseph to be my friend during those times! I also have other friends, like a cat and a dog, but Joseph is the best. He's a stinker sometimes, but he's got cute little oinks to help me to know what he needs. He's also very sweet, caring, and he's always ready to listen. He's a wonderful friend.","{'author': 3960989957, 'work_time': 655, 'quality_score': 90, 'creativity_words': [warmer, horse, dot, fingering, school, birthday, stinker, roaring, home, bow, oink, naughty, small, eye, wear]}","{'A': You can have ice-cream for breakfast, stay inside all day and watch television, and ride your bike., 'B': You can eat ice-cream for breakfast, meet up with friends, and go shopping, 'C': You can go shopping, get dirty playing outside, and eat ice-cream for dinner., 'D': You can ride your bike, sleep all day, and wear a dress.}",A,TRUE
"{'story': mc500.test.20, 'question': 2}",What animals do I have?,"When it is the end of school and the weather is warmer, that is a beautiful time called summer. Summer is wonderful because there are so many amazing things to do! You can wear fun dresses and get dirty playing outside, or you can stay inside all day and watch television. You can also ride your bike, meet up with friends during any time of the day, or maybe even eat ice-cream for breakfast! I have a birthday during the warmer summer weather and sometimes it is hard to get all my friends together at my home for cake and presents because they are on vacation! When I see my friends at school later they wish me happy birthday. My friends like me, but sometimes it is not so easy to get together. That's a stinker when that happens. It's a good thing that I have a pig named Joseph to be my friend during those times! I also have other friends, like a cat and a dog, but Joseph is the best. He's a stinker sometimes, but he's got cute little oinks to help me to know what he needs. He's also very sweet, caring, and he's always ready to listen. He's a wonderful friend.","{'author': 3960989957, 'work_time': 655, 'quality_score': 90, 'creativity_words': [warmer, horse, dot, fingering, school, birthday, stinker, roaring, home, bow, oink, naughty, small, eye, wear]}","{'A': Pig, dog, and fish., 'B': Pig, dog, and cat., 'C': Dog, pig, fish, 'D': Cat, dog, snake.}",B,TRUE
"{'story': mc500.test.20, 'question': 3}",When is my birthday?,"When it is the end of school and the weather is warmer, that is a beautiful time called summer. Summer is wonderful because there are so many amazing things to do! You can wear fun dresses and get dirty playing outside, or you can stay inside all day and watch television. You can also ride your bike, meet up with friends during any time of the day, or maybe even eat ice-cream for breakfast! I have a birthday during the warmer summer weather and sometimes it is hard to get all my friends together at my home for cake and presents because they are on vacation! When I see my friends at school later they wish me happy birthday. My friends like me, but sometimes it is not so easy to get together. That's a stinker when that happens. It's a good thing that I have a pig named Joseph to be my friend during those times! I also have other friends, like a cat and a dog, but Joseph is the best. He's a stinker sometimes, but he's got cute little oinks to help me to know what he needs. He's also very sweet, caring, and he's always ready to listen. He's a wonderful friend.","{'author': 3960989957, 'work_time': 655, 'quality_score': 90, 'creativity_words': [warmer, horse, dot, fingering, school, birthday, stinker, roaring, home, bow, oink, naughty, small, eye, wear]}","{'A': During the winter, 'B': During the summer, 'C': During the fall, 'D': During the spring}",B,FALSE
"{'story': mc500.test.21, 'question': 0}",What was David worried about?,"David and Lucy waited in their mom's truck. They all were going to the circus to see the clowns. Their Mom had to take their little brother back into the house to get more diapers and go to the bathroom. David was worried because he did not want to miss the wolf clown. Lucy watched her brother rub his chin. ""Why are you looking out the window?"" she asked. \newline""Mom needs to hurry.  We might miss the clowns."" \newline""I am going to get out of the truck and draw triangles in the sand."" Lucy said.\newline""No! You might make us miss it."" David cried. \newlineBefore she could get out of the truck Lucy saw her mom and little brother walk out of the house. Her mom got in the truck and asked, ""Okay kids are we ready to go?""\newlineDavid and Lucy yelled, ""Yes!""\newlineWhen they got to the circus David and Lucy saw all the clowns. Their little brother was too young to go into the tent, so their mom stayed with him. The show ended and they walked to the truck. \newline""What do you have there?"" David asked Lucy\newline""It is a bag I found in the tent."" Lucy said. \newline""We have to return that Lucy."" Their mom said. \newline""Why? It has cool stuff in it. I found it."" Lucy said. \newline""It is not ours."" Their mom said. \newlineLucy frowned as they walked to the lost and found and gave the bag back. Then they all went home. When they were washing up to go to bed Lucy said, ""I fear some of those clowns. The wolf one was scary."" \newline""Lucy, I can save you. The wolf clown was a person in make-up."" \newlineWith that they shut off the bathroom light and went to bed. A great day had by all.","{'author': 423744062, 'work_time': 2373, 'quality_score': 85, 'creativity_words': [harder, bag, clown, truck, triangle, hurry, window, fear, kid, diaper, wolf, sand, reading, chin, bathroom]}","{'A': missing the wolf clown, 'B': their little brother could not go in the tent, 'C': the bag was not theirs, 'D': his sister drawing triangles in the sand}",A,FALSE
"{'story': mc500.test.21, 'question': 1}",What did David say to Lucy to calm her fear?,"David and Lucy waited in their mom's truck. They all were going to the circus to see the clowns. Their Mom had to take their little brother back into the house to get more diapers and go to the bathroom. David was worried because he did not want to miss the wolf clown. Lucy watched her brother rub his chin. ""Why are you looking out the window?"" she asked. \newline""Mom needs to hurry.  We might miss the clowns."" \newline""I am going to get out of the truck and draw triangles in the sand."" Lucy said.\newline""No! You might make us miss it."" David cried. \newlineBefore she could get out of the truck Lucy saw her mom and little brother walk out of the house. Her mom got in the truck and asked, ""Okay kids are we ready to go?""\newlineDavid and Lucy yelled, ""Yes!""\newlineWhen they got to the circus David and Lucy saw all the clowns. Their little brother was too young to go into the tent, so their mom stayed with him. The show ended and they walked to the truck. \newline""What do you have there?"" David asked Lucy\newline""It is a bag I found in the tent."" Lucy said. \newline""We have to return that Lucy."" Their mom said. \newline""Why? It has cool stuff in it. I found it."" Lucy said. \newline""It is not ours."" Their mom said. \newlineLucy frowned as they walked to the lost and found and gave the bag back. Then they all went home. When they were washing up to go to bed Lucy said, ""I fear some of those clowns. The wolf one was scary."" \newline""Lucy, I can save you. The wolf clown was a person in make-up."" \newlineWith that they shut off the bathroom light and went to bed. A great day had by all.","{'author': 423744062, 'work_time': 2373, 'quality_score': 85, 'creativity_words': [harder, bag, clown, truck, triangle, hurry, window, fear, kid, diaper, wolf, sand, reading, chin, bathroom]}","{'A': He said the circus had all clowns, 'B': He said their little brother was too young, 'C': He said he would save her and that the wolf clown was a person in make-up, 'D': He said their mom went to the bathroom}",C,TRUE
"{'story': mc500.test.21, 'question': 2}",Where were they going?,"David and Lucy waited in their mom's truck. They all were going to the circus to see the clowns. Their Mom had to take their little brother back into the house to get more diapers and go to the bathroom. David was worried because he did not want to miss the wolf clown. Lucy watched her brother rub his chin. ""Why are you looking out the window?"" she asked. \newline""Mom needs to hurry.  We might miss the clowns."" \newline""I am going to get out of the truck and draw triangles in the sand."" Lucy said.\newline""No! You might make us miss it."" David cried. \newlineBefore she could get out of the truck Lucy saw her mom and little brother walk out of the house. Her mom got in the truck and asked, ""Okay kids are we ready to go?""\newlineDavid and Lucy yelled, ""Yes!""\newlineWhen they got to the circus David and Lucy saw all the clowns. Their little brother was too young to go into the tent, so their mom stayed with him. The show ended and they walked to the truck. \newline""What do you have there?"" David asked Lucy\newline""It is a bag I found in the tent."" Lucy said. \newline""We have to return that Lucy."" Their mom said. \newline""Why? It has cool stuff in it. I found it."" Lucy said. \newline""It is not ours."" Their mom said. \newlineLucy frowned as they walked to the lost and found and gave the bag back. Then they all went home. When they were washing up to go to bed Lucy said, ""I fear some of those clowns. The wolf one was scary."" \newline""Lucy, I can save you. The wolf clown was a person in make-up."" \newlineWith that they shut off the bathroom light and went to bed. A great day had by all.","{'author': 423744062, 'work_time': 2373, 'quality_score': 85, 'creativity_words': [harder, bag, clown, truck, triangle, hurry, window, fear, kid, diaper, wolf, sand, reading, chin, bathroom]}","{'A': the circus to see triangles, 'B': the bathroom to get ready for bed, 'C': to see the wolf at the zoo., 'D': The circus to see clowns}",D,FALSE
"{'story': mc500.test.21, 'question': 3}",What did Lucy do with the bag she found in the tent?,"David and Lucy waited in their mom's truck. They all were going to the circus to see the clowns. Their Mom had to take their little brother back into the house to get more diapers and go to the bathroom. David was worried because he did not want to miss the wolf clown. Lucy watched her brother rub his chin. ""Why are you looking out the window?"" she asked. \newline""Mom needs to hurry.  We might miss the clowns."" \newline""I am going to get out of the truck and draw triangles in the sand."" Lucy said.\newline""No! You might make us miss it."" David cried. \newlineBefore she could get out of the truck Lucy saw her mom and little brother walk out of the house. Her mom got in the truck and asked, ""Okay kids are we ready to go?""\newlineDavid and Lucy yelled, ""Yes!""\newlineWhen they got to the circus David and Lucy saw all the clowns. Their little brother was too young to go into the tent, so their mom stayed with him. The show ended and they walked to the truck. \newline""What do you have there?"" David asked Lucy\newline""It is a bag I found in the tent."" Lucy said. \newline""We have to return that Lucy."" Their mom said. \newline""Why? It has cool stuff in it. I found it."" Lucy said. \newline""It is not ours."" Their mom said. \newlineLucy frowned as they walked to the lost and found and gave the bag back. Then they all went home. When they were washing up to go to bed Lucy said, ""I fear some of those clowns. The wolf one was scary."" \newline""Lucy, I can save you. The wolf clown was a person in make-up."" \newlineWith that they shut off the bathroom light and went to bed. A great day had by all.","{'author': 423744062, 'work_time': 2373, 'quality_score': 85, 'creativity_words': [harder, bag, clown, truck, triangle, hurry, window, fear, kid, diaper, wolf, sand, reading, chin, bathroom]}","{'A': it had cool stuff in it so they kept it, 'B': they left it in the bathroom, 'C': Lucy's Mom made her turn it into the lost and found because it was not theirs., 'D': they took it to the truck with the diapers}",C,TRUE
"{'story': mc500.test.22, 'question': 0}",Who did the fox get the apple for?,"The red fox slowly walked out of his den he lives in; his own house in the ground. His eyes bounced side to side as he made sure the coast was clear, then he ran down the path of autumn leaves. As he reached the end there was a an apple tree without leaves, but still one shiny red colored apple hung from a branch. He climbed up a nearby rock and took a running start towards the branch, jumping and barely grabbing on. He slowly crawled along the branch towards the shiny apple, and as he drew close, he reached out a paw towards the apple. He knocked the apple from the branch and it to the forest floor. The fox slipped and he fell off the branch, but landed safely in a pile of leaves near the apple. He picked up the apple in his mouth and quickly brought it back to his warm den. When he arrived back home, his two fox kits were waiting for him with hungry tummies. Spring, summer, autumn, or winter, it was always warm in the fox den.","{'author': 2668697876, 'work_time': 868, 'quality_score': 80, 'creativity_words': [sister, aunt, sip, place, trashcan, spoon, have, baseball, cousin, ladder, bite, dot, welcome, rain, knob]}","{'A': Mrs. Fox, 'B': His fox kits, 'C': Himself, 'D': His friend}",B,TRUE
"{'story': mc500.test.22, 'question': 1}",What does the fox live in?,"The red fox slowly walked out of his den he lives in; his own house in the ground. His eyes bounced side to side as he made sure the coast was clear, then he ran down the path of autumn leaves. As he reached the end there was a an apple tree without leaves, but still one shiny red colored apple hung from a branch. He climbed up a nearby rock and took a running start towards the branch, jumping and barely grabbing on. He slowly crawled along the branch towards the shiny apple, and as he drew close, he reached out a paw towards the apple. He knocked the apple from the branch and it to the forest floor. The fox slipped and he fell off the branch, but landed safely in a pile of leaves near the apple. He picked up the apple in his mouth and quickly brought it back to his warm den. When he arrived back home, his two fox kits were waiting for him with hungry tummies. Spring, summer, autumn, or winter, it was always warm in the fox den.","{'author': 2668697876, 'work_time': 868, 'quality_score': 80, 'creativity_words': [sister, aunt, sip, place, trashcan, spoon, have, baseball, cousin, ladder, bite, dot, welcome, rain, knob]}","{'A': A tree, 'B': A den, 'C': A rock, 'D': A house}",B,FALSE
"{'story': mc500.test.22, 'question': 2}",What season is it?,"The red fox slowly walked out of his den he lives in; his own house in the ground. His eyes bounced side to side as he made sure the coast was clear, then he ran down the path of autumn leaves. As he reached the end there was a an apple tree without leaves, but still one shiny red colored apple hung from a branch. He climbed up a nearby rock and took a running start towards the branch, jumping and barely grabbing on. He slowly crawled along the branch towards the shiny apple, and as he drew close, he reached out a paw towards the apple. He knocked the apple from the branch and it to the forest floor. The fox slipped and he fell off the branch, but landed safely in a pile of leaves near the apple. He picked up the apple in his mouth and quickly brought it back to his warm den. When he arrived back home, his two fox kits were waiting for him with hungry tummies. Spring, summer, autumn, or winter, it was always warm in the fox den.","{'author': 2668697876, 'work_time': 868, 'quality_score': 80, 'creativity_words': [sister, aunt, sip, place, trashcan, spoon, have, baseball, cousin, ladder, bite, dot, welcome, rain, knob]}","{'A': Summer, 'B': Spring, 'C': Winter, 'D': Autumn}",D,FALSE
"{'story': mc500.test.22, 'question': 3}",How did the fox get to the apple?,"The red fox slowly walked out of his den he lives in; his own house in the ground. His eyes bounced side to side as he made sure the coast was clear, then he ran down the path of autumn leaves. As he reached the end there was a an apple tree without leaves, but still one shiny red colored apple hung from a branch. He climbed up a nearby rock and took a running start towards the branch, jumping and barely grabbing on. He slowly crawled along the branch towards the shiny apple, and as he drew close, he reached out a paw towards the apple. He knocked the apple from the branch and it to the forest floor. The fox slipped and he fell off the branch, but landed safely in a pile of leaves near the apple. He picked up the apple in his mouth and quickly brought it back to his warm den. When he arrived back home, his two fox kits were waiting for him with hungry tummies. Spring, summer, autumn, or winter, it was always warm in the fox den.","{'author': 2668697876, 'work_time': 868, 'quality_score': 80, 'creativity_words': [sister, aunt, sip, place, trashcan, spoon, have, baseball, cousin, ladder, bite, dot, welcome, rain, knob]}","{'A': He jumped to the branch, 'B': The apple fell down, 'C': The apple was on the ground, 'D': He climbed the tree}",A,TRUE
"{'story': mc500.test.23, 'question': 0}",Where did the cake go before the frog put frosting on it?,"Once upon a time, there was a little frog in a little castle. The little frog was having a little party with all his little froggy friends. ""I want to make them a cake!"" he said, and so he went into the kitchen. In the kitchen, there were all the ingredients the frog needed to make the cake. There were eggs, milk, flour, sugar, and yes, frosting. The frog put all the ingredients in a bowl and started mixing them up. ""I'm going to make the best cake ever!"" he said. He took the cake and poured it into a blue bowl and popped it into the oven. He waited, and then, when it was done, he took it out. It was nice and golden brown. He put pink frosting all over the cake. It looked great! All the people at the party loved the little frog's cake.","{'author': 2875114411, 'work_time': 443, 'quality_score': 100, 'creativity_words': [pink, cake, frosting, people, sounding, string, hiding, coffee, fear, swing, catch, silly, train, bowing, get]}","{'A': Into the castle, 'B': On his friends' heads, 'C': Into the oven, 'D': Into the frog's belly}",C,FALSE
"{'story': mc500.test.23, 'question': 1}",What did the friends and the frog think of the cake?,"Once upon a time, there was a little frog in a little castle. The little frog was having a little party with all his little froggy friends. ""I want to make them a cake!"" he said, and so he went into the kitchen. In the kitchen, there were all the ingredients the frog needed to make the cake. There were eggs, milk, flour, sugar, and yes, frosting. The frog put all the ingredients in a bowl and started mixing them up. ""I'm going to make the best cake ever!"" he said. He took the cake and poured it into a blue bowl and popped it into the oven. He waited, and then, when it was done, he took it out. It was nice and golden brown. He put pink frosting all over the cake. It looked great! All the people at the party loved the little frog's cake.","{'author': 2875114411, 'work_time': 443, 'quality_score': 100, 'creativity_words': [pink, cake, frosting, people, sounding, string, hiding, coffee, fear, swing, catch, silly, train, bowing, get]}","{'A': They thought it was ugly., 'B': They didn't like it., 'C': The frog has no friends., 'D': They liked it.}",D,TRUE
"{'story': mc500.test.23, 'question': 2}",What color was the frosting?,"Once upon a time, there was a little frog in a little castle. The little frog was having a little party with all his little froggy friends. ""I want to make them a cake!"" he said, and so he went into the kitchen. In the kitchen, there were all the ingredients the frog needed to make the cake. There were eggs, milk, flour, sugar, and yes, frosting. The frog put all the ingredients in a bowl and started mixing them up. ""I'm going to make the best cake ever!"" he said. He took the cake and poured it into a blue bowl and popped it into the oven. He waited, and then, when it was done, he took it out. It was nice and golden brown. He put pink frosting all over the cake. It looked great! All the people at the party loved the little frog's cake.","{'author': 2875114411, 'work_time': 443, 'quality_score': 100, 'creativity_words': [pink, cake, frosting, people, sounding, string, hiding, coffee, fear, swing, catch, silly, train, bowing, get]}","{'A': Red, 'B': Pink, 'C': Blue, 'D': Brown}",B,FALSE
"{'story': mc500.test.23, 'question': 3}",Why did the frog make a cake?,"Once upon a time, there was a little frog in a little castle. The little frog was having a little party with all his little froggy friends. ""I want to make them a cake!"" he said, and so he went into the kitchen. In the kitchen, there were all the ingredients the frog needed to make the cake. There were eggs, milk, flour, sugar, and yes, frosting. The frog put all the ingredients in a bowl and started mixing them up. ""I'm going to make the best cake ever!"" he said. He took the cake and poured it into a blue bowl and popped it into the oven. He waited, and then, when it was done, he took it out. It was nice and golden brown. He put pink frosting all over the cake. It looked great! All the people at the party loved the little frog's cake.","{'author': 2875114411, 'work_time': 443, 'quality_score': 100, 'creativity_words': [pink, cake, frosting, people, sounding, string, hiding, coffee, fear, swing, catch, silly, train, bowing, get]}","{'A': He was sad., 'B': He was having a party., 'C': An evil witch told him to., 'D': His best friend was buying it from him.}",B,TRUE
"{'story': mc500.test.24, 'question': 0}",Where were the books that Angela organized?,"It was a beautiful Friday morning in Los Angeles. The sun was shining and the birds were singing their song. Angela woke up and got dressed. She had plans to go to the beach and look out on the ocean today. Angela had some chores to do first. She needed to clean and organize. Angela started by cleaning the bathroom. She then cleaned the living room, dining room, kitchen and her bedroom. After cleaning the bedroom, she organized her books on her desk. She then organized her spices in the kitchen. Angela started to make lunch. Angela had a choice between pizza, sandwiches and salad. She wanted to have pizza today. She chose to make a salad for lunch tomorrow and Sunday. Angela went to the store to buy lettuce. She went home after buying lettuce and ate pizza. After that, she took a walk and enjoyed the clear blue sky and breeze. She ended up walking to the beach.","{'author': 2778399758, 'work_time': 1354, 'quality_score': 80, 'creativity_words': [tear, see, light, dark, pan, pizza, dish, refrigerator, lettuce, stay, glue, ocean, twirl, sky, drier]}","{'A': bathroom, 'B': kitchen, 'C': living room, 'D': desk}",D,FALSE
"{'story': mc500.test.24, 'question': 1}",what day was Angela making salad for lunch?,"It was a beautiful Friday morning in Los Angeles. The sun was shining and the birds were singing their song. Angela woke up and got dressed. She had plans to go to the beach and look out on the ocean today. Angela had some chores to do first. She needed to clean and organize. Angela started by cleaning the bathroom. She then cleaned the living room, dining room, kitchen and her bedroom. After cleaning the bedroom, she organized her books on her desk. She then organized her spices in the kitchen. Angela started to make lunch. Angela had a choice between pizza, sandwiches and salad. She wanted to have pizza today. She chose to make a salad for lunch tomorrow and Sunday. Angela went to the store to buy lettuce. She went home after buying lettuce and ate pizza. After that, she took a walk and enjoyed the clear blue sky and breeze. She ended up walking to the beach.","{'author': 2778399758, 'work_time': 1354, 'quality_score': 80, 'creativity_words': [tear, see, light, dark, pan, pizza, dish, refrigerator, lettuce, stay, glue, ocean, twirl, sky, drier]}","{'A': today, 'B': Saturday, 'C': Sunday, 'D': Friday}",B,TRUE
"{'story': mc500.test.24, 'question': 2}",Where did Angela clean first?,"It was a beautiful Friday morning in Los Angeles. The sun was shining and the birds were singing their song. Angela woke up and got dressed. She had plans to go to the beach and look out on the ocean today. Angela had some chores to do first. She needed to clean and organize. Angela started by cleaning the bathroom. She then cleaned the living room, dining room, kitchen and her bedroom. After cleaning the bedroom, she organized her books on her desk. She then organized her spices in the kitchen. Angela started to make lunch. Angela had a choice between pizza, sandwiches and salad. She wanted to have pizza today. She chose to make a salad for lunch tomorrow and Sunday. Angela went to the store to buy lettuce. She went home after buying lettuce and ate pizza. After that, she took a walk and enjoyed the clear blue sky and breeze. She ended up walking to the beach.","{'author': 2778399758, 'work_time': 1354, 'quality_score': 80, 'creativity_words': [tear, see, light, dark, pan, pizza, dish, refrigerator, lettuce, stay, glue, ocean, twirl, sky, drier]}","{'A': bathroom, 'B': kitchen, 'C': living room, 'D': dining room}",A,FALSE
"{'story': mc500.test.24, 'question': 3}",Where did Angela walk to?,"It was a beautiful Friday morning in Los Angeles. The sun was shining and the birds were singing their song. Angela woke up and got dressed. She had plans to go to the beach and look out on the ocean today. Angela had some chores to do first. She needed to clean and organize. Angela started by cleaning the bathroom. She then cleaned the living room, dining room, kitchen and her bedroom. After cleaning the bedroom, she organized her books on her desk. She then organized her spices in the kitchen. Angela started to make lunch. Angela had a choice between pizza, sandwiches and salad. She wanted to have pizza today. She chose to make a salad for lunch tomorrow and Sunday. Angela went to the store to buy lettuce. She went home after buying lettuce and ate pizza. After that, she took a walk and enjoyed the clear blue sky and breeze. She ended up walking to the beach.","{'author': 2778399758, 'work_time': 1354, 'quality_score': 80, 'creativity_words': [tear, see, light, dark, pan, pizza, dish, refrigerator, lettuce, stay, glue, ocean, twirl, sky, drier]}","{'A': sky, 'B': ocean, 'C': bedroom, 'D': the beach}",D,TRUE
"{'story': mc500.test.25, 'question': 0}",How did the teacher react to the naughty boy?,"A naughty boy was sitting in math class on Tuesday. There was a broken sink in the back of the room full of water. There was also a kitty on the open window. A loud plane was flying outside and scared the kitty inside. The naughty boy walked up to the kitty and picked it up. What do you think he did next? He threw the kitty into the water in the sink! The kitty didn't last long and ran away from the sink faster than lightning! The other children laughed and laughed, but the teacher didn't think it was funny. She didn't let the naughty boy play on the playground for a week! But the boy didn't care. The class thought he was funny, and so did he. But he would have to get smarter because the sink was fixed soon. The naughty boy thought the teacher was a witch who used a magic kiss to fix it. He had no idea that her husband fixed it the next day.","{'author': 3555112059, 'work_time': 696, 'quality_score': 95, 'creativity_words': [firing, point, class, ball, up, witch, heading, plane, playground, sink, wood, silence, naughty, kitty, kiss]}","{'A': she made him sit on the window, 'B': she didn't let him go on the playground for a week, 'C': she put his head in the water, 'D': she made him go outside}",B,TRUE
"{'story': mc500.test.25, 'question': 1}",Where was the naughty boy sitting?,"A naughty boy was sitting in math class on Tuesday. There was a broken sink in the back of the room full of water. There was also a kitty on the open window. A loud plane was flying outside and scared the kitty inside. The naughty boy walked up to the kitty and picked it up. What do you think he did next? He threw the kitty into the water in the sink! The kitty didn't last long and ran away from the sink faster than lightning! The other children laughed and laughed, but the teacher didn't think it was funny. She didn't let the naughty boy play on the playground for a week! But the boy didn't care. The class thought he was funny, and so did he. But he would have to get smarter because the sink was fixed soon. The naughty boy thought the teacher was a witch who used a magic kiss to fix it. He had no idea that her husband fixed it the next day.","{'author': 3555112059, 'work_time': 696, 'quality_score': 95, 'creativity_words': [firing, point, class, ball, up, witch, heading, plane, playground, sink, wood, silence, naughty, kitty, kiss]}","{'A': outside, 'B': on the playground, 'C': in math class, 'D': on the window}",C,FALSE
"{'story': mc500.test.25, 'question': 2}",What scared the kitty inside?,"A naughty boy was sitting in math class on Tuesday. There was a broken sink in the back of the room full of water. There was also a kitty on the open window. A loud plane was flying outside and scared the kitty inside. The naughty boy walked up to the kitty and picked it up. What do you think he did next? He threw the kitty into the water in the sink! The kitty didn't last long and ran away from the sink faster than lightning! The other children laughed and laughed, but the teacher didn't think it was funny. She didn't let the naughty boy play on the playground for a week! But the boy didn't care. The class thought he was funny, and so did he. But he would have to get smarter because the sink was fixed soon. The naughty boy thought the teacher was a witch who used a magic kiss to fix it. He had no idea that her husband fixed it the next day.","{'author': 3555112059, 'work_time': 696, 'quality_score': 95, 'creativity_words': [firing, point, class, ball, up, witch, heading, plane, playground, sink, wood, silence, naughty, kitty, kiss]}","{'A': the playground, 'B': the naughty boy, 'C': a loud airplane, 'D': the teacher}",C,FALSE
"{'story': mc500.test.25, 'question': 3}",What day did the teacher's husband fix the sink?,"A naughty boy was sitting in math class on Tuesday. There was a broken sink in the back of the room full of water. There was also a kitty on the open window. A loud plane was flying outside and scared the kitty inside. The naughty boy walked up to the kitty and picked it up. What do you think he did next? He threw the kitty into the water in the sink! The kitty didn't last long and ran away from the sink faster than lightning! The other children laughed and laughed, but the teacher didn't think it was funny. She didn't let the naughty boy play on the playground for a week! But the boy didn't care. The class thought he was funny, and so did he. But he would have to get smarter because the sink was fixed soon. The naughty boy thought the teacher was a witch who used a magic kiss to fix it. He had no idea that her husband fixed it the next day.","{'author': 3555112059, 'work_time': 696, 'quality_score': 95, 'creativity_words': [firing, point, class, ball, up, witch, heading, plane, playground, sink, wood, silence, naughty, kitty, kiss]}","{'A': Wednesday, 'B': soon, 'C': Saturday, 'D': Tuesday}",A,TRUE
"{'story': mc500.test.26, 'question': 0}",How many friends did Little Bunny want to invite?,"Tomorrow was Little Bunny's birthday.  He was very excited.  He wanted to invite all of his friends.  ""We only have enough cake for five friends."" His mother said.  Little Bunny thought and thought.  He wanted to invite Rabbit, Bear, Duck and Goose.  Little Bunny could invite one more friend. He thought about Turtle. Turtle was lots of fun and always told funny jokes.  He thought about Fox. Fox was super nice and always made Little Bunny feel good.  He also thought about how not inviting one of his friends would make them feel bad.  Little Bunny didn't want to make anyone feel bad. After a little bit he had an idea.  He told his mother his idea.\newline""I like both Turtle and Fox, and I want them both to come.  One would feel really left out if they didn't get invited.  I can give my cake to one of my friends, and that way they can both come and have a piece."" His mother thought it was very sweet of Little Bunny to give up his piece of birthday cake so that none of his friends would feel left out.\newline""I'll tell you what."" Said his mother.  ""I'll make a batch of cupcakes, and all of your friends can have some.""","{'author': 31729763, 'work_time': 1909, 'quality_score': 80, 'creativity_words': [nap, fork, crayon, age, movie, air, meat, mother, chair, spank, stairway, treat, fingering, skin, birthday]}","{'A': 8, 'B': 5, 'C': 6, 'D': 4}",C,TRUE
"{'story': mc500.test.26, 'question': 1}",Who would feel left out if they couldn't come to the party?,"Tomorrow was Little Bunny's birthday.  He was very excited.  He wanted to invite all of his friends.  ""We only have enough cake for five friends."" His mother said.  Little Bunny thought and thought.  He wanted to invite Rabbit, Bear, Duck and Goose.  Little Bunny could invite one more friend. He thought about Turtle. Turtle was lots of fun and always told funny jokes.  He thought about Fox. Fox was super nice and always made Little Bunny feel good.  He also thought about how not inviting one of his friends would make them feel bad.  Little Bunny didn't want to make anyone feel bad. After a little bit he had an idea.  He told his mother his idea.\newline""I like both Turtle and Fox, and I want them both to come.  One would feel really left out if they didn't get invited.  I can give my cake to one of my friends, and that way they can both come and have a piece."" His mother thought it was very sweet of Little Bunny to give up his piece of birthday cake so that none of his friends would feel left out.\newline""I'll tell you what."" Said his mother.  ""I'll make a batch of cupcakes, and all of your friends can have some.""","{'author': 31729763, 'work_time': 1909, 'quality_score': 80, 'creativity_words': [nap, fork, crayon, age, movie, air, meat, mother, chair, spank, stairway, treat, fingering, skin, birthday]}","{'A': Bear and Duck, 'B': Fox and Turtle, 'C': Goose and Rabbit, 'D': Duck and Goose}",B,TRUE
"{'story': mc500.test.26, 'question': 2}",Who was having a birthday?,"Tomorrow was Little Bunny's birthday.  He was very excited.  He wanted to invite all of his friends.  ""We only have enough cake for five friends."" His mother said.  Little Bunny thought and thought.  He wanted to invite Rabbit, Bear, Duck and Goose.  Little Bunny could invite one more friend. He thought about Turtle. Turtle was lots of fun and always told funny jokes.  He thought about Fox. Fox was super nice and always made Little Bunny feel good.  He also thought about how not inviting one of his friends would make them feel bad.  Little Bunny didn't want to make anyone feel bad. After a little bit he had an idea.  He told his mother his idea.\newline""I like both Turtle and Fox, and I want them both to come.  One would feel really left out if they didn't get invited.  I can give my cake to one of my friends, and that way they can both come and have a piece."" His mother thought it was very sweet of Little Bunny to give up his piece of birthday cake so that none of his friends would feel left out.\newline""I'll tell you what."" Said his mother.  ""I'll make a batch of cupcakes, and all of your friends can have some.""","{'author': 31729763, 'work_time': 1909, 'quality_score': 80, 'creativity_words': [nap, fork, crayon, age, movie, air, meat, mother, chair, spank, stairway, treat, fingering, skin, birthday]}","{'A': Turtle, 'B': Duck, 'C': Little Bunny, 'D': Bear}",C,FALSE
