item_id	para	para_bold	question	opt1	opt2	opt3	opt4	correct_answer 
27	"There once was a beautiful, brown puppy who loved her life.  Her name was Tori.  Every morning, Patty brushed out her fur and feeds Tori her favorite breakfast.  One Tuesday morning, Patty had an early errand and forgot all about Tori.  Tori was sad, but chose to make the best of it, and leaped out of her doggy door to play in her backyard outside.  As she was playing with her favorite ball, Tori saw an opening in the fence.  Excited, she ran over to the fence and squeezed out.  She had never been on the street by herself before.  Tori ran down the sidewalk, and happily barked at all the other dogs she passed.  She loved to wag her tail in the summer breeze and was having a great time.  \newline\newlineAll of a sudden, Tori was picked up by Ben and Mike, and thrown into a truck.  She was lost and confused.  Poor Tori didn't know what to do!  The truck pulled up to a building with a big sign that said ""Animal Control"".  Tori knew this was the place that people keep animals who are lost on the street.  Once the workers took her inside, they put her into a cage.  She was scared that Patty wouldn't know where to find her, but she knew Patty's phone number was on her collar.  She barked and barked to get the worker's attention, but no one seemed to pay her any attention.  \newline\newlineAfter two long hours, a tall man, named Joe, opened up her cage and looked at the charm on her collar.  He smiled at Tori and gave her a pat on the head.  Patty was there quickly, and gave Tori a big hug.  She was so happy to see her puppy again.\newline\newlineTori learned to never escape the backyard again and lived happily ever after with Patty."		Where was Tori playing with her favorite ball?	On the sidewalk.	At Animal Control.	In her backyard.	In the truck.	In her backyard.
27	"There once was a beautiful, brown puppy who loved her life.  Her name was Tori.  Every morning, Patty brushed out her fur and feeds Tori her favorite breakfast.  One Tuesday morning, Patty had an early errand and forgot all about Tori.  Tori was sad, but chose to make the best of it, and leaped out of her doggy door to play in her backyard outside.  As she was playing with her favorite ball, Tori saw an opening in the fence.  Excited, she ran over to the fence and squeezed out.  She had never been on the street by herself before.  Tori ran down the sidewalk, and happily barked at all the other dogs she passed.  She loved to wag her tail in the summer breeze and was having a great time.  \newline\newlineAll of a sudden, Tori was picked up by Ben and Mike, and thrown into a truck.  She was lost and confused.  Poor Tori didn't know what to do!  The truck pulled up to a building with a big sign that said ""Animal Control"".  Tori knew this was the place that people keep animals who are lost on the street.  Once the workers took her inside, they put her into a cage.  She was scared that Patty wouldn't know where to find her, but she knew Patty's phone number was on her collar.  She barked and barked to get the worker's attention, but no one seemed to pay her any attention.  \newline\newlineAfter two long hours, a tall man, named Joe, opened up her cage and looked at the charm on her collar.  He smiled at Tori and gave her a pat on the head.  Patty was there quickly, and gave Tori a big hug.  She was so happy to see her puppy again.\newline\newlineTori learned to never escape the backyard again and lived happily ever after with Patty."		Who opened Tori's cage?	Mike	Patty	Ben	Joe	Joe
28	The children's father wanted to know what every one wanted on their pizza. Andy wanted a strawberry on his pizza. Father thought that was funny. Father asked if anyone wanted chicken on the pizza. Sue did not want chicken. Andy wanted chicken. Dan did not want chicken, but their father wanted to get chicken on the pizza. Dan asked if they could have mushrooms on the pizza. Father did not like mushrooms. Andy and Sue wanted to have mushrooms, so their father had them put mushrooms on the pizza. Sue wanted to have green onions on the pizza. Father also wanted green onions. Dan and Andy did not like green onions, so they did not get green onions on the pizza. Father wanted to order thin crust pizza. Dan thought that thin crust pizza had the taste of an old shoe. Sue thought Dan was wrong. Sue wanted thin crust pizza also. Andy wanted thick crust pizza. He did not want thin crust, so their father ordered the pizza with thick crust. The pizza was very good and they ate it all.		Who wanted to have green onions on the pizza?	Andy and father	Sue and father.	Sue and Dan	Dan and Andy	Sue and father.
28	The children's father wanted to know what every one wanted on their pizza. Andy wanted a strawberry on his pizza. Father thought that was funny. Father asked if anyone wanted chicken on the pizza. Sue did not want chicken. Andy wanted chicken. Dan did not want chicken, but their father wanted to get chicken on the pizza. Dan asked if they could have mushrooms on the pizza. Father did not like mushrooms. Andy and Sue wanted to have mushrooms, so their father had them put mushrooms on the pizza. Sue wanted to have green onions on the pizza. Father also wanted green onions. Dan and Andy did not like green onions, so they did not get green onions on the pizza. Father wanted to order thin crust pizza. Dan thought that thin crust pizza had the taste of an old shoe. Sue thought Dan was wrong. Sue wanted thin crust pizza also. Andy wanted thick crust pizza. He did not want thin crust, so their father ordered the pizza with thick crust. The pizza was very good and they ate it all.		Who did not want thin crust pizza?	Sue and Dan	Dan and Andy	Father and Sue	Father and Dan	Dan and Andy
28	The children's father wanted to know what every one wanted on their pizza. Andy wanted a strawberry on his pizza. Father thought that was funny. Father asked if anyone wanted chicken on the pizza. Sue did not want chicken. Andy wanted chicken. Dan did not want chicken, but their father wanted to get chicken on the pizza. Dan asked if they could have mushrooms on the pizza. Father did not like mushrooms. Andy and Sue wanted to have mushrooms, so their father had them put mushrooms on the pizza. Sue wanted to have green onions on the pizza. Father also wanted green onions. Dan and Andy did not like green onions, so they did not get green onions on the pizza. Father wanted to order thin crust pizza. Dan thought that thin crust pizza had the taste of an old shoe. Sue thought Dan was wrong. Sue wanted thin crust pizza also. Andy wanted thick crust pizza. He did not want thin crust, so their father ordered the pizza with thick crust. The pizza was very good and they ate it all.		Who did not want chicken on the pizza?	Andy, Sue and Dan	Sue and Dan	Just Sue	Just Dan	Sue and Dan
28	The children's father wanted to know what every one wanted on their pizza. Andy wanted a strawberry on his pizza. Father thought that was funny. Father asked if anyone wanted chicken on the pizza. Sue did not want chicken. Andy wanted chicken. Dan did not want chicken, but their father wanted to get chicken on the pizza. Dan asked if they could have mushrooms on the pizza. Father did not like mushrooms. Andy and Sue wanted to have mushrooms, so their father had them put mushrooms on the pizza. Sue wanted to have green onions on the pizza. Father also wanted green onions. Dan and Andy did not like green onions, so they did not get green onions on the pizza. Father wanted to order thin crust pizza. Dan thought that thin crust pizza had the taste of an old shoe. Sue thought Dan was wrong. Sue wanted thin crust pizza also. Andy wanted thick crust pizza. He did not want thin crust, so their father ordered the pizza with thick crust. The pizza was very good and they ate it all.		Who wanted mushrooms on the pizza?	Dan, Andy and Sue	Dan and Father	Father and Sue	Andy and Father	Dan, Andy and Sue
29	One morning a girl named Ashely woke up before her Mom and Dad and started watching TV. Once her parents woke up, everybody got dressed to go food shopping for the week. Food shopping was one of Ashley's favorite things to do. The family got to the grocery store and grabbed a shopping cart. The first foods they ran into were the fruits. Ashley ran to pick her favorite fruit, apples, while her parents went and got other things that they needed, like the sour lemons. As the family kept walking through the grocery store Ashley begged for some candy that she saw, but the other things her parents bought were eggs, milk and bread. After all of the food was picked out, the family went up to the check-out line to pay for their food. Ashley never liked the check-out line, as it always took too long, but today was different. The checkout lady, Sarah, was extra nice to her and as she was waiting for her parents to pay, Ashley's father picked out a candy for her to have. It was her favorite, chocolate! Ashley was so excited that she thanked her parents the whole ride home, and even said she would make breakfast. When the family got home that afternoon and the food was in the house, the whole family made their lunch of eggs and toast together.		What was the girl's name?	Ashley	Dad	Sarah	Mom	Ashley
29	One morning a girl named Ashely woke up before her Mom and Dad and started watching TV. Once her parents woke up, everybody got dressed to go food shopping for the week. Food shopping was one of Ashley's favorite things to do. The family got to the grocery store and grabbed a shopping cart. The first foods they ran into were the fruits. Ashley ran to pick her favorite fruit, apples, while her parents went and got other things that they needed, like the sour lemons. As the family kept walking through the grocery store Ashley begged for some candy that she saw, but the other things her parents bought were eggs, milk and bread. After all of the food was picked out, the family went up to the check-out line to pay for their food. Ashley never liked the check-out line, as it always took too long, but today was different. The checkout lady, Sarah, was extra nice to her and as she was waiting for her parents to pay, Ashley's father picked out a candy for her to have. It was her favorite, chocolate! Ashley was so excited that she thanked her parents the whole ride home, and even said she would make breakfast. When the family got home that afternoon and the food was in the house, the whole family made their lunch of eggs and toast together.		What was the first food the family bought?	Eggs	Bread	Lemons	Apples	Apples
29	One morning a girl named Ashely woke up before her Mom and Dad and started watching TV. Once her parents woke up, everybody got dressed to go food shopping for the week. Food shopping was one of Ashley's favorite things to do. The family got to the grocery store and grabbed a shopping cart. The first foods they ran into were the fruits. Ashley ran to pick her favorite fruit, apples, while her parents went and got other things that they needed, like the sour lemons. As the family kept walking through the grocery store Ashley begged for some candy that she saw, but the other things her parents bought were eggs, milk and bread. After all of the food was picked out, the family went up to the check-out line to pay for their food. Ashley never liked the check-out line, as it always took too long, but today was different. The checkout lady, Sarah, was extra nice to her and as she was waiting for her parents to pay, Ashley's father picked out a candy for her to have. It was her favorite, chocolate! Ashley was so excited that she thanked her parents the whole ride home, and even said she would make breakfast. When the family got home that afternoon and the food was in the house, the whole family made their lunch of eggs and toast together.		What did Ashley's dad buy for her that made her excited?	Chocolate	Bread	Lemons	Eggs	Chocolate
29	One morning a girl named Ashely woke up before her Mom and Dad and started watching TV. Once her parents woke up, everybody got dressed to go food shopping for the week. Food shopping was one of Ashley's favorite things to do. The family got to the grocery store and grabbed a shopping cart. The first foods they ran into were the fruits. Ashley ran to pick her favorite fruit, apples, while her parents went and got other things that they needed, like the sour lemons. As the family kept walking through the grocery store Ashley begged for some candy that she saw, but the other things her parents bought were eggs, milk and bread. After all of the food was picked out, the family went up to the check-out line to pay for their food. Ashley never liked the check-out line, as it always took too long, but today was different. The checkout lady, Sarah, was extra nice to her and as she was waiting for her parents to pay, Ashley's father picked out a candy for her to have. It was her favorite, chocolate! Ashley was so excited that she thanked her parents the whole ride home, and even said she would make breakfast. When the family got home that afternoon and the food was in the house, the whole family made their lunch of eggs and toast together.		What was one of Ashley's favorite things to do?	Waiting in line	Eating breakfast	Food Shopping	Making breakfast	Food Shopping
30	"One day John and Sally's mother made up her mind to bake a very special cake for her son and daughter, but she didn't have the ingredients. She told John and Sally to go to the grocer's to buy the things she would need.\newline\newline""I'll need some popcorn, a pea, some melon balls, and a cup of yogurt. I'm going to make a very special cake today,"" she said.\newline\newline""Wow, that sounds horrible,"" said John.\newline\newline""Yeah, we'd rather watch TV and eat potato chips,"" said Sally.\newline\newline""Don't talk back, kids. Do what I said and head into town. It's a beautiful day. Go the long way and follow the river until you get there. Don't take the short way through the forest. A lion has escaped from the zoo. He might be hiding in the forest.""\newline\newlineSo John and Sally started the walk into town, but because they were disobedient children, they didn't follow the river like their mother told them. Instead they took the short way through the forest.\newline\newline""I'm not afraid of a lion in the forest,"" said John. ""Besides, I think mom has been eating too many melon balls and is letting her imagination get away from her again. If there were a lion in the forest, we would know about it.""\newline\newlineSo they wandered along the forest path, jumping in mud puddles and throwing sticks at one another. But as soon as John and Sally were in the darkest part of the forest, they heard a terrible roar. It was the lion! Horrified, they ran for their lives out of the forest, all the way back home.\newline\newline""We're sorry!"" they both said to their mother. ""We'll never be disobedient again!""\newline\newlineAnd from that day forward, whenever their mother told them to do something, they did it right away like they were told."		What happened when John and Sally got into the darkest part of the forest?	They saw the lion.	They heard the lion roar.	They found the ingredients for the very special cake.	They jumped in mud puddles and threw sticks at one another.	They heard the lion roar.
30	"One day John and Sally's mother made up her mind to bake a very special cake for her son and daughter, but she didn't have the ingredients. She told John and Sally to go to the grocer's to buy the things she would need.\newline\newline""I'll need some popcorn, a pea, some melon balls, and a cup of yogurt. I'm going to make a very special cake today,"" she said.\newline\newline""Wow, that sounds horrible,"" said John.\newline\newline""Yeah, we'd rather watch TV and eat potato chips,"" said Sally.\newline\newline""Don't talk back, kids. Do what I said and head into town. It's a beautiful day. Go the long way and follow the river until you get there. Don't take the short way through the forest. A lion has escaped from the zoo. He might be hiding in the forest.""\newline\newlineSo John and Sally started the walk into town, but because they were disobedient children, they didn't follow the river like their mother told them. Instead they took the short way through the forest.\newline\newline""I'm not afraid of a lion in the forest,"" said John. ""Besides, I think mom has been eating too many melon balls and is letting her imagination get away from her again. If there were a lion in the forest, we would know about it.""\newline\newlineSo they wandered along the forest path, jumping in mud puddles and throwing sticks at one another. But as soon as John and Sally were in the darkest part of the forest, they heard a terrible roar. It was the lion! Horrified, they ran for their lives out of the forest, all the way back home.\newline\newline""We're sorry!"" they both said to their mother. ""We'll never be disobedient again!""\newline\newlineAnd from that day forward, whenever their mother told them to do something, they did it right away like they were told."		What did John and Sally's mother want to do for her son and daughter?	She wanted to eat melon balls.	She wanted to bake a very special cake.	She wanted to watch TV and eat potato chips.	She wanted to feed them to a lion.	She wanted to bake a very special cake.
30	"One day John and Sally's mother made up her mind to bake a very special cake for her son and daughter, but she didn't have the ingredients. She told John and Sally to go to the grocer's to buy the things she would need.\newline\newline""I'll need some popcorn, a pea, some melon balls, and a cup of yogurt. I'm going to make a very special cake today,"" she said.\newline\newline""Wow, that sounds horrible,"" said John.\newline\newline""Yeah, we'd rather watch TV and eat potato chips,"" said Sally.\newline\newline""Don't talk back, kids. Do what I said and head into town. It's a beautiful day. Go the long way and follow the river until you get there. Don't take the short way through the forest. A lion has escaped from the zoo. He might be hiding in the forest.""\newline\newlineSo John and Sally started the walk into town, but because they were disobedient children, they didn't follow the river like their mother told them. Instead they took the short way through the forest.\newline\newline""I'm not afraid of a lion in the forest,"" said John. ""Besides, I think mom has been eating too many melon balls and is letting her imagination get away from her again. If there were a lion in the forest, we would know about it.""\newline\newlineSo they wandered along the forest path, jumping in mud puddles and throwing sticks at one another. But as soon as John and Sally were in the darkest part of the forest, they heard a terrible roar. It was the lion! Horrified, they ran for their lives out of the forest, all the way back home.\newline\newline""We're sorry!"" they both said to their mother. ""We'll never be disobedient again!""\newline\newlineAnd from that day forward, whenever their mother told them to do something, they did it right away like they were told."		Why did John and Sally's mother want her children to follow the river and not go into the forest?	She had been eating too many melon balls.	A lion had escaped from the zoo and he might be hiding in the forest.	It was a beautiful day.	Following the river was the shortest way into town.	A lion had escaped from the zoo and he might be hiding in the forest.
30	"One day John and Sally's mother made up her mind to bake a very special cake for her son and daughter, but she didn't have the ingredients. She told John and Sally to go to the grocer's to buy the things she would need.\newline\newline""I'll need some popcorn, a pea, some melon balls, and a cup of yogurt. I'm going to make a very special cake today,"" she said.\newline\newline""Wow, that sounds horrible,"" said John.\newline\newline""Yeah, we'd rather watch TV and eat potato chips,"" said Sally.\newline\newline""Don't talk back, kids. Do what I said and head into town. It's a beautiful day. Go the long way and follow the river until you get there. Don't take the short way through the forest. A lion has escaped from the zoo. He might be hiding in the forest.""\newline\newlineSo John and Sally started the walk into town, but because they were disobedient children, they didn't follow the river like their mother told them. Instead they took the short way through the forest.\newline\newline""I'm not afraid of a lion in the forest,"" said John. ""Besides, I think mom has been eating too many melon balls and is letting her imagination get away from her again. If there were a lion in the forest, we would know about it.""\newline\newlineSo they wandered along the forest path, jumping in mud puddles and throwing sticks at one another. But as soon as John and Sally were in the darkest part of the forest, they heard a terrible roar. It was the lion! Horrified, they ran for their lives out of the forest, all the way back home.\newline\newline""We're sorry!"" they both said to their mother. ""We'll never be disobedient again!""\newline\newlineAnd from that day forward, whenever their mother told them to do something, they did it right away like they were told."		Who said the very special cake sounded horrible?	Sally.	The lion.	John.	John and Sally's Mother.	John.
31	"Andy was a small boy who, like many small boys, loved to play.  He would play outside.  He would play in his basement.  He would play in his room.  When he played, he would play with lots of things.  Sometimes he played with blocks.  Sometimes he played with cards.  Sometimes he would even play with his sister's dolls.\newline\newlineOne day, Andy became bored.  ""Maybe I'll play outside,"" said Andy.  He tried to play outside, but it didn't seem right.  ""I know,"" said Andy, ""maybe I'll play in the basement.""  So he tried to play in his basement, but that didn't seem right either.  ""I guess I can play in my room,"" said Andy.  So he went to his room to play, but he still felt bored.  \newline\newline""Maybe I need to play with something different,"" said Andy.  So he tried to play with his blocks, but he was still bored.  ""I'll play with my cards,"" said Andy, but they weren't fun either.  ""I'll play with my sister's dolls,"" said Andy, but he kept being bored.  \newline\newlineAndy was starting to get sad, and then his sister Angie came in and asked, ""Do you want to play, Andy?""  ""Yes,"" said Andy.  And they played with blocks, and dolls, and cards.  And they had fun.  As it turns out, all Andy needed was somebody to play with."		Where didn't Andy play?	Playground	Outside	Basement	His room	Playground
31	"Andy was a small boy who, like many small boys, loved to play.  He would play outside.  He would play in his basement.  He would play in his room.  When he played, he would play with lots of things.  Sometimes he played with blocks.  Sometimes he played with cards.  Sometimes he would even play with his sister's dolls.\newline\newlineOne day, Andy became bored.  ""Maybe I'll play outside,"" said Andy.  He tried to play outside, but it didn't seem right.  ""I know,"" said Andy, ""maybe I'll play in the basement.""  So he tried to play in his basement, but that didn't seem right either.  ""I guess I can play in my room,"" said Andy.  So he went to his room to play, but he still felt bored.  \newline\newline""Maybe I need to play with something different,"" said Andy.  So he tried to play with his blocks, but he was still bored.  ""I'll play with my cards,"" said Andy, but they weren't fun either.  ""I'll play with my sister's dolls,"" said Andy, but he kept being bored.  \newline\newlineAndy was starting to get sad, and then his sister Angie came in and asked, ""Do you want to play, Andy?""  ""Yes,"" said Andy.  And they played with blocks, and dolls, and cards.  And they had fun.  As it turns out, all Andy needed was somebody to play with."		What didn't Andy do with Angie?	Play with sticks	Play with dolls	Play with blocks	Play with cards	Play with sticks
31	"Andy was a small boy who, like many small boys, loved to play.  He would play outside.  He would play in his basement.  He would play in his room.  When he played, he would play with lots of things.  Sometimes he played with blocks.  Sometimes he played with cards.  Sometimes he would even play with his sister's dolls.\newline\newlineOne day, Andy became bored.  ""Maybe I'll play outside,"" said Andy.  He tried to play outside, but it didn't seem right.  ""I know,"" said Andy, ""maybe I'll play in the basement.""  So he tried to play in his basement, but that didn't seem right either.  ""I guess I can play in my room,"" said Andy.  So he went to his room to play, but he still felt bored.  \newline\newline""Maybe I need to play with something different,"" said Andy.  So he tried to play with his blocks, but he was still bored.  ""I'll play with my cards,"" said Andy, but they weren't fun either.  ""I'll play with my sister's dolls,"" said Andy, but he kept being bored.  \newline\newlineAndy was starting to get sad, and then his sister Angie came in and asked, ""Do you want to play, Andy?""  ""Yes,"" said Andy.  And they played with blocks, and dolls, and cards.  And they had fun.  As it turns out, all Andy needed was somebody to play with."		What did Andy finally do that made him have fun?	Played in the basement	Played with his sister	Played with a friend	Played with blocks	Played with his sister
31	"Andy was a small boy who, like many small boys, loved to play.  He would play outside.  He would play in his basement.  He would play in his room.  When he played, he would play with lots of things.  Sometimes he played with blocks.  Sometimes he played with cards.  Sometimes he would even play with his sister's dolls.\newline\newlineOne day, Andy became bored.  ""Maybe I'll play outside,"" said Andy.  He tried to play outside, but it didn't seem right.  ""I know,"" said Andy, ""maybe I'll play in the basement.""  So he tried to play in his basement, but that didn't seem right either.  ""I guess I can play in my room,"" said Andy.  So he went to his room to play, but he still felt bored.  \newline\newline""Maybe I need to play with something different,"" said Andy.  So he tried to play with his blocks, but he was still bored.  ""I'll play with my cards,"" said Andy, but they weren't fun either.  ""I'll play with my sister's dolls,"" said Andy, but he kept being bored.  \newline\newlineAndy was starting to get sad, and then his sister Angie came in and asked, ""Do you want to play, Andy?""  ""Yes,"" said Andy.  And they played with blocks, and dolls, and cards.  And they had fun.  As it turns out, all Andy needed was somebody to play with."		What didn't Andy play with?	Video Games	Blocks	Dolls	Cards	Video Games
32	There was once a baseball player who lived in a faraway land. The Baseball players name is Tyler. Tyler was very cool and had a lot of friends. Tyler could throw a baseball in many different ways. His favorite way to throw it was fast. Other people liked to throw it slow, some people liked to throw it on their head, and some people even rolled it on the ground. Not Tyler, whenever he picked up a baseball he threw it very fast. People from all over the world came to see Tyler throw the baseball. He met a guy named Peter, who liked him a lot. Peter made a lot of people, like his friends Lucy and Jerry, give Tyler things for being good at baseball. Tyler was so good at baseball people gave him a big house. He liked a lot of things about the house. He liked the movie theatre, the bowling place, and the swimming pool. However his favorite thing about the house was the trampoline. Tyler got all of these things because he could throw a ball fast, he thought it was very cool. Tyler invited all of his friends over and they had a pool party.		What did Tyler like most about the house?	Movie theatre	Bowling Place	The Trampoline	Swimming Pool	The Trampoline
32	There was once a baseball player who lived in a faraway land. The Baseball players name is Tyler. Tyler was very cool and had a lot of friends. Tyler could throw a baseball in many different ways. His favorite way to throw it was fast. Other people liked to throw it slow, some people liked to throw it on their head, and some people even rolled it on the ground. Not Tyler, whenever he picked up a baseball he threw it very fast. People from all over the world came to see Tyler throw the baseball. He met a guy named Peter, who liked him a lot. Peter made a lot of people, like his friends Lucy and Jerry, give Tyler things for being good at baseball. Tyler was so good at baseball people gave him a big house. He liked a lot of things about the house. He liked the movie theatre, the bowling place, and the swimming pool. However his favorite thing about the house was the trampoline. Tyler got all of these things because he could throw a ball fast, he thought it was very cool. Tyler invited all of his friends over and they had a pool party.		Who made people give the baseball player things?	Jerry	Tyler	Lucy	Peter	Peter
32	There was once a baseball player who lived in a faraway land. The Baseball players name is Tyler. Tyler was very cool and had a lot of friends. Tyler could throw a baseball in many different ways. His favorite way to throw it was fast. Other people liked to throw it slow, some people liked to throw it on their head, and some people even rolled it on the ground. Not Tyler, whenever he picked up a baseball he threw it very fast. People from all over the world came to see Tyler throw the baseball. He met a guy named Peter, who liked him a lot. Peter made a lot of people, like his friends Lucy and Jerry, give Tyler things for being good at baseball. Tyler was so good at baseball people gave him a big house. He liked a lot of things about the house. He liked the movie theatre, the bowling place, and the swimming pool. However his favorite thing about the house was the trampoline. Tyler got all of these things because he could throw a ball fast, he thought it was very cool. Tyler invited all of his friends over and they had a pool party.		What was the baseball player's name?	Peter	Lucy	Jerry	Tyler	Tyler
32	There was once a baseball player who lived in a faraway land. The Baseball players name is Tyler. Tyler was very cool and had a lot of friends. Tyler could throw a baseball in many different ways. His favorite way to throw it was fast. Other people liked to throw it slow, some people liked to throw it on their head, and some people even rolled it on the ground. Not Tyler, whenever he picked up a baseball he threw it very fast. People from all over the world came to see Tyler throw the baseball. He met a guy named Peter, who liked him a lot. Peter made a lot of people, like his friends Lucy and Jerry, give Tyler things for being good at baseball. Tyler was so good at baseball people gave him a big house. He liked a lot of things about the house. He liked the movie theatre, the bowling place, and the swimming pool. However his favorite thing about the house was the trampoline. Tyler got all of these things because he could throw a ball fast, he thought it was very cool. Tyler invited all of his friends over and they had a pool party.		What was Tyler's favorite way to throw a baseball?	Fast	Rolling it on the ground	Slow	On his head	Fast
33	Animals love to walk near the train tracks. One night a beautiful black cat was walking along the train tracks looking for a nice mouse to eat. He came across some friends, Bob the cat and Steve the dog. They chose to go looking for food together. They walked up and down the tracks looking for a wonderful meal to snack on, when they happened across a big huge melon. Bob asked the black cat if he like melons, the cat did not like melons. Bob asked the dog if he liked melons, Steve did not like melons either. Bob then ate the melon himself as they looked around for that tasty treat. They heard bells from the train coming by and then they finally saw the food they were looking for jump from the bushes over the tracks and run straight into the barn nearby. The black cat wanted to eat the mouse, so he chased him into the barn. Minutes later the black cat returned with his meal in his mouth to share with his friends.		Did the train make noise at all?	The bells sounded	no	the train never came	the train had loud wheels	The bells sounded
33	Animals love to walk near the train tracks. One night a beautiful black cat was walking along the train tracks looking for a nice mouse to eat. He came across some friends, Bob the cat and Steve the dog. They chose to go looking for food together. They walked up and down the tracks looking for a wonderful meal to snack on, when they happened across a big huge melon. Bob asked the black cat if he like melons, the cat did not like melons. Bob asked the dog if he liked melons, Steve did not like melons either. Bob then ate the melon himself as they looked around for that tasty treat. They heard bells from the train coming by and then they finally saw the food they were looking for jump from the bushes over the tracks and run straight into the barn nearby. The black cat wanted to eat the mouse, so he chased him into the barn. Minutes later the black cat returned with his meal in his mouth to share with his friends.		Did the black cat have a name?	Jon	Steve	Bob	No	No
33	Animals love to walk near the train tracks. One night a beautiful black cat was walking along the train tracks looking for a nice mouse to eat. He came across some friends, Bob the cat and Steve the dog. They chose to go looking for food together. They walked up and down the tracks looking for a wonderful meal to snack on, when they happened across a big huge melon. Bob asked the black cat if he like melons, the cat did not like melons. Bob asked the dog if he liked melons, Steve did not like melons either. Bob then ate the melon himself as they looked around for that tasty treat. They heard bells from the train coming by and then they finally saw the food they were looking for jump from the bushes over the tracks and run straight into the barn nearby. The black cat wanted to eat the mouse, so he chased him into the barn. Minutes later the black cat returned with his meal in his mouth to share with his friends.		Who ate the melon?	The black cat	Steve	Steve and the black cat	Bob	Bob
33	Animals love to walk near the train tracks. One night a beautiful black cat was walking along the train tracks looking for a nice mouse to eat. He came across some friends, Bob the cat and Steve the dog. They chose to go looking for food together. They walked up and down the tracks looking for a wonderful meal to snack on, when they happened across a big huge melon. Bob asked the black cat if he like melons, the cat did not like melons. Bob asked the dog if he liked melons, Steve did not like melons either. Bob then ate the melon himself as they looked around for that tasty treat. They heard bells from the train coming by and then they finally saw the food they were looking for jump from the bushes over the tracks and run straight into the barn nearby. The black cat wanted to eat the mouse, so he chased him into the barn. Minutes later the black cat returned with his meal in his mouth to share with his friends.		Where did the mouse get caught?	Barn	the grass	Train tracks	in the train	Barn
34	Jane was good at basketball but she liked soccer more.  She played forward for her soccer team on Saturday morning.  A man in a black and white striped shirt blew his whistle to start the game.  It was hot so Jane's coach handed out orange slices for the players to eat at half time.  Jane's team was winning but she was more excited for what she would do in the afternoon.  Her father was going to take her to watch a baseball game.  When the soccer game was over, Jane took off her soccer shoes and put them next to her father's running shoes in the back of his car.  Jane and her father drove to the baseball game.  After buying their tickets, they went to find their seats.  A man in a green shirt stood at the top of the stairs in their section.  He showed them where their seats were.  Jane saw a lot of empty peanut shells on the ground near their seats.  A man in a blue shirt was yelling for people to buy some cotton candy.  Jane's father bought them hot dogs to eat instead.  Jane put ketchup and mustard on hers.  The home team was named the Cardinals and they wore red.  The pitcher threw the first pitch and everyone cheered.		What color shirt was the man wearing who showed Jane and her dad their seats?	Blue.	Green.	Black and white.	Red.	Green.
34	Jane was good at basketball but she liked soccer more.  She played forward for her soccer team on Saturday morning.  A man in a black and white striped shirt blew his whistle to start the game.  It was hot so Jane's coach handed out orange slices for the players to eat at half time.  Jane's team was winning but she was more excited for what she would do in the afternoon.  Her father was going to take her to watch a baseball game.  When the soccer game was over, Jane took off her soccer shoes and put them next to her father's running shoes in the back of his car.  Jane and her father drove to the baseball game.  After buying their tickets, they went to find their seats.  A man in a green shirt stood at the top of the stairs in their section.  He showed them where their seats were.  Jane saw a lot of empty peanut shells on the ground near their seats.  A man in a blue shirt was yelling for people to buy some cotton candy.  Jane's father bought them hot dogs to eat instead.  Jane put ketchup and mustard on hers.  The home team was named the Cardinals and they wore red.  The pitcher threw the first pitch and everyone cheered.		Who was not at the baseball game?	The pitcher.	Jane's father.	A man who had cotton candy.	Jane's coach.	Jane's coach.
34	Jane was good at basketball but she liked soccer more.  She played forward for her soccer team on Saturday morning.  A man in a black and white striped shirt blew his whistle to start the game.  It was hot so Jane's coach handed out orange slices for the players to eat at half time.  Jane's team was winning but she was more excited for what she would do in the afternoon.  Her father was going to take her to watch a baseball game.  When the soccer game was over, Jane took off her soccer shoes and put them next to her father's running shoes in the back of his car.  Jane and her father drove to the baseball game.  After buying their tickets, they went to find their seats.  A man in a green shirt stood at the top of the stairs in their section.  He showed them where their seats were.  Jane saw a lot of empty peanut shells on the ground near their seats.  A man in a blue shirt was yelling for people to buy some cotton candy.  Jane's father bought them hot dogs to eat instead.  Jane put ketchup and mustard on hers.  The home team was named the Cardinals and they wore red.  The pitcher threw the first pitch and everyone cheered.		What sport did Jane's father take her to see?	Soccer.	Basketball.	Running.	Baseball.	Baseball.
34	Jane was good at basketball but she liked soccer more.  She played forward for her soccer team on Saturday morning.  A man in a black and white striped shirt blew his whistle to start the game.  It was hot so Jane's coach handed out orange slices for the players to eat at half time.  Jane's team was winning but she was more excited for what she would do in the afternoon.  Her father was going to take her to watch a baseball game.  When the soccer game was over, Jane took off her soccer shoes and put them next to her father's running shoes in the back of his car.  Jane and her father drove to the baseball game.  After buying their tickets, they went to find their seats.  A man in a green shirt stood at the top of the stairs in their section.  He showed them where their seats were.  Jane saw a lot of empty peanut shells on the ground near their seats.  A man in a blue shirt was yelling for people to buy some cotton candy.  Jane's father bought them hot dogs to eat instead.  Jane put ketchup and mustard on hers.  The home team was named the Cardinals and they wore red.  The pitcher threw the first pitch and everyone cheered.		What did Jane and her father eat at the baseball game?	Hot dogs.	Cotton candy.	Orange slices.	Peanuts.	Hot dogs.
